pier,model_x,model_y,footprint_m2,road_outside_median_m2,status,real_world_verified
UNVERIFIED_Pier_375,5036.75927734375,443.48529052734375,3.1058037877082825,0.0,NO_MAPPED_ROAD_OVERLAP,False
UNVERIFIED_Pier_380,4931.63232421875,450.8778991699219,3.1058037877082825,0.0,NO_MAPPED_ROAD_OVERLAP,False
UNVERIFIED_Pier_381,4931.55224609375,444.8783874511719,3.1058037877082825,0.0,NO_MAPPED_ROAD_OVERLAP,False
UNVERIFIED_Pier_386,4826.322265625,444.78668212890625,3.1058037877082825,0.0,WITHIN_MODELED_MEDIAN,False
UNVERIFIED_Pier_387,4827.19091796875,438.8498840332031,3.1058037877082825,1.5149586616724189,ROAD_OVERLAP_REVIEW,False
UNVERIFIED_Pier_392,4722.45654296875,426.9399719238281,3.1058037877082825,3.1058037877082825,ROAD_OVERLAP_REVIEW,False
UNVERIFIED_Pier_393,4723.74658203125,421.0805358886719,3.1058037877082825,0.0,WITHIN_MODELED_MEDIAN,False
UNVERIFIED_Pier_394,4688.205078125,419.3933410644531,3.1058037877082825,3.1058037877082825,ROAD_OVERLAP_REVIEW,False
UNVERIFIED_Pier_395,4689.49658203125,413.5339050292969,3.1058037877082825,0.0,WITHIN_MODELED_MEDIAN,False
UNVERIFIED_Pier_396,4653.95458984375,411.84674072265625,3.1058037877082825,3.1058037877082825,ROAD_OVERLAP_REVIEW,False
UNVERIFIED_Pier_397,4655.24560546875,405.9873046875,3.1058037877082825,0.0,WITHIN_MODELED_MEDIAN,False
UNVERIFIED_Pier_398,4619.70361328125,404.3001708984375,3.1058037877082825,3.1058037877082825,ROAD_OVERLAP_REVIEW,False
UNVERIFIED_Pier_399,4620.99560546875,398.4407043457031,3.1058037877082825,0.0,WITHIN_MODELED_MEDIAN,False
UNVERIFIED_Pier_400,4585.45361328125,396.75360107421875,3.1058037877082825,3.1058037877082825,ROAD_OVERLAP_REVIEW,False
UNVERIFIED_Pier_401,4586.74462890625,390.8940734863281,3.1058037877082825,0.0,WITHIN_MODELED_MEDIAN,False
UNVERIFIED_Pier_402,4551.18701171875,389.4211730957031,3.1058037877082825,3.1058037877082825,ROAD_OVERLAP_REVIEW,False
UNVERIFIED_Pier_403,4552.42041015625,383.5492858886719,3.1058037877082825,0.0,WITHIN_MODELED_MEDIAN,False
