span_id,decks,start_piers,end_piers,plan_length_m,sampled_min_clearance_m,deck_top_z_min,deck_top_z_max,flags,real_world_verified
SPAN_MODEL_010,DECK_48776360,UNVERIFIED_Pier_082|UNVERIFIED_Pier_083,UNVERIFIED_Pier_086|UNVERIFIED_Pier_087,70.56352989736496,5.599998474121094,7.9999847412109375,8.000015258789062,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_011,DECK_48776360,UNVERIFIED_Pier_086|UNVERIFIED_Pier_087,UNVERIFIED_Pier_091|UNVERIFIED_Pier_090,70.5634075222602,5.599996566772461,7.9999847412109375,8.000015258789062,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_012,DECK_48776360,UNVERIFIED_Pier_091|UNVERIFIED_Pier_090,UNVERIFIED_Pier_095|UNVERIFIED_Pier_094,70.56332281934124,5.599996566772461,7.999992370605469,8.000007629394531,long_gap_check_missing_supports,False
SPAN_MODEL_013,DECK_48776360,UNVERIFIED_Pier_095|UNVERIFIED_Pier_094,UNVERIFIED_Pier_098|UNVERIFIED_Pier_099,70.56382098561653,5.599998474121094,7.9999847412109375,8.000007629394531,long_gap_check_missing_supports,False
SPAN_MODEL_014,DECK_48776360,UNVERIFIED_Pier_098|UNVERIFIED_Pier_099,UNVERIFIED_Pier_103|UNVERIFIED_Pier_102,70.5633962520642,5.599996566772461,7.9999847412109375,8.000007629394531,long_gap_check_missing_supports,False
SPAN_MODEL_015,DECK_48776360,UNVERIFIED_Pier_103|UNVERIFIED_Pier_102,UNVERIFIED_Pier_107|UNVERIFIED_Pier_106,70.56354760126749,5.599994659423828,7.9999847412109375,8.000015258789062,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_016,DECK_48776360,UNVERIFIED_Pier_107|UNVERIFIED_Pier_106,UNVERIFIED_Pier_110|UNVERIFIED_Pier_111,70.56355695092088,5.599994659423828,7.999992370605469,8.000015258789062,long_gap_check_missing_supports,False
SPAN_MODEL_017,DECK_48776360,UNVERIFIED_Pier_110|UNVERIFIED_Pier_111,UNVERIFIED_Pier_115|UNVERIFIED_Pier_114,70.56378743403013,5.599996566772461,7.999992370605469,8.000015258789062,long_gap_check_missing_supports,False
SPAN_MODEL_018,DECK_48776360,UNVERIFIED_Pier_115|UNVERIFIED_Pier_114,UNVERIFIED_Pier_119|UNVERIFIED_Pier_118,70.56368588243186,5.599994659423828,7.9999847412109375,8.000015258789062,long_gap_check_missing_supports,False
SPAN_MODEL_019,DECK_48776360,UNVERIFIED_Pier_119|UNVERIFIED_Pier_118,UNVERIFIED_Pier_122|UNVERIFIED_Pier_123,70.56375013568709,5.599994659423828,7.9999847412109375,8.000015258789062,long_gap_check_missing_supports,False
SPAN_MODEL_020,DECK_48776372,UNVERIFIED_Pier_203|UNVERIFIED_Pier_202,UNVERIFIED_Pier_207|UNVERIFIED_Pier_206,70.82953356900293,5.599996566772461,7.9999847412109375,8.000015258789062,long_gap_check_missing_supports,False
SPAN_MODEL_021,DECK_48776372,UNVERIFIED_Pier_207|UNVERIFIED_Pier_206,UNVERIFIED_Pier_211|UNVERIFIED_Pier_210,70.82974441331521,5.599996566772461,7.999992370605469,8.000007629394531,long_gap_check_missing_supports,False
SPAN_MODEL_022,DECK_48776372,UNVERIFIED_Pier_211|UNVERIFIED_Pier_210,UNVERIFIED_Pier_214|UNVERIFIED_Pier_215,70.82967454260029,5.599998474121094,7.9999847412109375,8.000015258789062,long_gap_check_missing_supports,False
SPAN_MODEL_023,DECK_48776372,UNVERIFIED_Pier_214|UNVERIFIED_Pier_215,UNVERIFIED_Pier_219|UNVERIFIED_Pier_218,70.83001513095496,5.599996566772461,7.9999847412109375,8.000007629394531,long_gap_check_missing_supports,False
SPAN_MODEL_024,DECK_48776372,UNVERIFIED_Pier_219|UNVERIFIED_Pier_218,UNVERIFIED_Pier_234|UNVERIFIED_Pier_235,283.31789566636144,5.4199981689453125,7.9999847412109375,8.000007629394531,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_025,DECK_48776372,UNVERIFIED_Pier_234|UNVERIFIED_Pier_235,UNVERIFIED_Pier_239|UNVERIFIED_Pier_238,70.82949476658723,5.41999626159668,7.999992370605469,8.000007629394531,long_gap_check_missing_supports,False
SPAN_MODEL_026,DECK_48776372,UNVERIFIED_Pier_239|UNVERIFIED_Pier_238,UNVERIFIED_Pier_242|UNVERIFIED_Pier_243,70.82957991669036,5.41999626159668,7.9999847412109375,8.000007629394531,long_gap_check_missing_supports,False
SPAN_MODEL_027,DECK_48776372,UNVERIFIED_Pier_242|UNVERIFIED_Pier_243,UNVERIFIED_Pier_247|UNVERIFIED_Pier_246,70.82947504132994,5.599994659423828,7.9999847412109375,8.000015258789062,long_gap_check_missing_supports,False
SPAN_MODEL_028,DECK_48776372,UNVERIFIED_Pier_247|UNVERIFIED_Pier_246,UNVERIFIED_Pier_250|UNVERIFIED_Pier_251,70.82985294224613,5.599998474121094,7.9999847412109375,8.000015258789062,long_gap_check_missing_supports,False
SPAN_MODEL_029,DECK_48776372,UNVERIFIED_Pier_250|UNVERIFIED_Pier_251,UNVERIFIED_Pier_254|UNVERIFIED_Pier_255,70.82994490919828,5.419994354248047,7.999992370605469,8.000007629394531,long_gap_check_missing_supports,False
SPAN_MODEL_030,DECK_51362369,UNVERIFIED_Pier_281|UNVERIFIED_Pier_280,UNVERIFIED_Pier_283|UNVERIFIED_Pier_282,35.0658345824491,5.41999626159668,7.9999847412109375,8.000015258789062,,False
SPAN_MODEL_031,DECK_51362369,UNVERIFIED_Pier_283|UNVERIFIED_Pier_282,UNVERIFIED_Pier_289|UNVERIFIED_Pier_288,105.19743561936235,5.4199981689453125,7.9999847412109375,8.000007629394531,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
