span_id,decks,start_piers,end_piers,plan_length_m,sampled_min_clearance_m,deck_top_z_min,deck_top_z_max,flags,real_world_verified
SPAN_MODEL_056,DECK_160053377,UNVERIFIED_Pier_399|UNVERIFIED_Pier_398,UNVERIFIED_Pier_400|UNVERIFIED_Pier_401,35.0720276600955,5.41999626159668,7.9999847412109375,8.000007629394531,,False
SPAN_MODEL_057,DECK_160053377,UNVERIFIED_Pier_400|UNVERIFIED_Pier_401,UNVERIFIED_Pier_403|UNVERIFIED_Pier_402,35.0722377974605,5.4199981689453125,7.999992370605469,8.000007629394531,,False
SPAN_MODEL_058,DECK_160053377,UNVERIFIED_Pier_403|UNVERIFIED_Pier_402,UNVERIFIED_Pier_405|UNVERIFIED_Pier_404,35.07202793471231,5.420000076293945,7.999992370605469,8.000007629394531,,False
SPAN_MODEL_059,DECK_160053377,UNVERIFIED_Pier_405|UNVERIFIED_Pier_404,UNVERIFIED_Pier_408|UNVERIFIED_Pier_409,70.14425450597957,5.599996566772461,7.9999847412109375,8.000015258789062,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_060,DECK_160053377,UNVERIFIED_Pier_408|UNVERIFIED_Pier_409,UNVERIFIED_Pier_413|UNVERIFIED_Pier_412,70.14438896824299,5.599996566772461,7.999992370605469,8.000015258789062,long_gap_check_missing_supports,False
SPAN_MODEL_061,DECK_160053377,UNVERIFIED_Pier_413|UNVERIFIED_Pier_412,UNVERIFIED_Pier_414|UNVERIFIED_Pier_415,35.072414613073306,5.599994659423828,7.9999847412109375,8.000015258789062,ground_surface_missing_at_some_samples,False
SPAN_MODEL_062,DECK_160053377,UNVERIFIED_Pier_414|UNVERIFIED_Pier_415,UNVERIFIED_Pier_416|UNVERIFIED_Pier_417,35.07211244369296,5.599994659423828,7.999992370605469,8.000007629394531,,False
SPAN_MODEL_063,DECK_160053377,UNVERIFIED_Pier_416|UNVERIFIED_Pier_417,UNVERIFIED_Pier_419|UNVERIFIED_Pier_418,35.072197140566686,5.599996566772461,7.999992370605469,8.000007629394531,ground_surface_missing_at_some_samples,False
SPAN_MODEL_064,DECK_160053377,UNVERIFIED_Pier_419|UNVERIFIED_Pier_418,UNVERIFIED_Pier_420|UNVERIFIED_Pier_421,35.07200722525022,5.599996566772461,7.9999847412109375,8.000007629394531,,False
SPAN_MODEL_065,DECK_160053377,UNVERIFIED_Pier_420|UNVERIFIED_Pier_421,UNVERIFIED_Pier_422|UNVERIFIED_Pier_423,35.07222453860845,5.599996566772461,7.9999847412109375,8.000007629394531,,False
SPAN_MODEL_066,DECK_160053377,UNVERIFIED_Pier_422|UNVERIFIED_Pier_423,UNVERIFIED_Pier_424|UNVERIFIED_Pier_425,35.07219558854467,5.599996566772461,7.9999847412109375,8.000007629394531,,False
SPAN_MODEL_067,DECK_160053377,UNVERIFIED_Pier_424|UNVERIFIED_Pier_425,UNVERIFIED_Pier_426|UNVERIFIED_Pier_427,35.07286228420162,5.420000076293945,7.9999847412109375,8.000015258789062,,False
SPAN_MODEL_068,DECK_160053377,UNVERIFIED_Pier_426|UNVERIFIED_Pier_427,UNVERIFIED_Pier_428|UNVERIFIED_Pier_429,35.071892046240464,5.4199981689453125,7.999992370605469,8.000015258789062,,False
SPAN_MODEL_069,DECK_160053377,UNVERIFIED_Pier_428|UNVERIFIED_Pier_429,UNVERIFIED_Pier_430|UNVERIFIED_Pier_431,35.071901978692495,5.420000076293945,7.999992370605469,8.000007629394531,,False
SPAN_MODEL_070,DECK_160053377,UNVERIFIED_Pier_430|UNVERIFIED_Pier_431,UNVERIFIED_Pier_432|UNVERIFIED_Pier_433,35.07213609559835,5.41999626159668,7.999992370605469,8.000007629394531,ground_surface_missing_at_some_samples,False
SPAN_MODEL_071,DECK_160053377,UNVERIFIED_Pier_432|UNVERIFIED_Pier_433,UNVERIFIED_Pier_434|UNVERIFIED_Pier_435,35.07189204624024,5.41999626159668,7.999992370605469,8.000015258789062,ground_surface_missing_at_some_samples,False
SPAN_MODEL_072,DECK_160053377,UNVERIFIED_Pier_434|UNVERIFIED_Pier_435,UNVERIFIED_Pier_439|UNVERIFIED_Pier_438,70.14405537268021,5.599994659423828,7.9999847412109375,8.000015258789062,long_gap_check_missing_supports,False
SPAN_MODEL_073,DECK_160053377,UNVERIFIED_Pier_439|UNVERIFIED_Pier_438,UNVERIFIED_Pier_440|UNVERIFIED_Pier_441,35.072414742592855,5.599994659423828,7.999992370605469,8.000015258789062,ground_surface_missing_at_some_samples,False
SPAN_MODEL_074,DECK_160053377,UNVERIFIED_Pier_440|UNVERIFIED_Pier_441,UNVERIFIED_Pier_459|UNVERIFIED_Pier_458,315.6478766907078,5.4199981689453125,7.999992370605469,8.000015258789062,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_075,DECK_160053390,UNVERIFIED_Pier_464,UNVERIFIED_Pier_583,48.76784597731623,,7.9999847412109375,8.000007629394531,ambiguous_pier_to_deck_assignment|ground_surface_missing_at_some_samples,False
SPAN_MODEL_076,DECK_160053390,UNVERIFIED_Pier_583,UNVERIFIED_Pier_470,69.25923179159761,,7.9999847412109375,8.000007629394531,ambiguous_pier_to_deck_assignment|long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_077,DECK_160053390,UNVERIFIED_Pier_470,UNVERIFIED_Pier_472,39.34234280427091,,7.9999847412109375,8.000007629394531,ambiguous_pier_to_deck_assignment|ground_surface_missing_at_some_samples,False
SPAN_MODEL_078,DECK_160053390,UNVERIFIED_Pier_472,UNVERIFIED_Pier_577,5.340368293949865,,7.9999847412109375,8.000007629394531,ambiguous_pier_to_deck_assignment|ground_surface_missing_at_some_samples,False
SPAN_MODEL_079,DECK_160053390,UNVERIFIED_Pier_577,UNVERIFIED_Pier_476,73.34539792214494,,7.9999847412109375,8.000007629394531,ambiguous_pier_to_deck_assignment|long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_080,DECK_204711191,UNVERIFIED_Pier_492|UNVERIFIED_Pier_493,UNVERIFIED_Pier_499|UNVERIFIED_Pier_498,105.85289749562514,,7.9999847412109375,8.000015258789062,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_081,DECK_204711191,UNVERIFIED_Pier_499|UNVERIFIED_Pier_498,UNVERIFIED_Pier_504|UNVERIFIED_Pier_505,105.85008239431897,,7.9999847412109375,8.000015258789062,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_082,DECK_204711191,UNVERIFIED_Pier_504|UNVERIFIED_Pier_505,UNVERIFIED_Pier_510|UNVERIFIED_Pier_511,105.84923117778465,,7.9999847412109375,8.000015258789062,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_083,DECK_204711194,UNVERIFIED_Pier_518|UNVERIFIED_Pier_519,UNVERIFIED_Pier_523|UNVERIFIED_Pier_522,73.00973495666877,5.599996566772461,7.999992370605469,8.000007629394531,long_gap_check_missing_supports,False
SPAN_MODEL_084,DECK_204711194,UNVERIFIED_Pier_523|UNVERIFIED_Pier_522,UNVERIFIED_Pier_525|UNVERIFIED_Pier_524,36.50479690612846,5.4199981689453125,7.9999847412109375,8.000015258789062,,False
SPAN_MODEL_085,DECK_204711194,UNVERIFIED_Pier_525|UNVERIFIED_Pier_524,UNVERIFIED_Pier_527|UNVERIFIED_Pier_526,36.50468736689345,5.420000076293945,7.9999847412109375,8.000015258789062,,False
SPAN_MODEL_086,DECK_204711194,UNVERIFIED_Pier_527|UNVERIFIED_Pier_526,UNVERIFIED_Pier_529|UNVERIFIED_Pier_528,36.5048431252043,5.599996566772461,7.999992370605469,8.000015258789062,,False
SPAN_MODEL_087,DECK_204711194,UNVERIFIED_Pier_529|UNVERIFIED_Pier_528,UNVERIFIED_Pier_534|UNVERIFIED_Pier_535,109.5155387962046,5.599994659423828,7.999992370605469,8.000015258789062,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_088,DECK_204711194,UNVERIFIED_Pier_534|UNVERIFIED_Pier_535,UNVERIFIED_Pier_541|UNVERIFIED_Pier_540,109.5144857944552,5.599994659423828,7.999992370605469,8.000007629394531,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_089,DECK_252494927,UNVERIFIED_Pier_477,UNVERIFIED_Pier_471,118.10873667306416,,7.999992370605469,8.000015258789062,ambiguous_pier_to_deck_assignment|long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_090,DECK_252494927,UNVERIFIED_Pier_471,UNVERIFIED_Pier_582,69.23880129822568,,7.999992370605469,8.000015258789062,ambiguous_pier_to_deck_assignment|long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_091,DECK_906806085,UNVERIFIED_Pier_642|UNVERIFIED_Pier_643,UNVERIFIED_Pier_648|UNVERIFIED_Pier_649,114.34701480978529,5.41999626159668,7.999992370605469,8.000007629394531,long_gap_check_missing_supports,False
SPAN_MODEL_092,DECK_906806087,UNVERIFIED_Pier_460,UNVERIFIED_Pier_658|UNVERIFIED_Pier_659,34.99033222685114,5.4199981689453125,7.999992370605469,8.000007629394531,ambiguous_pier_to_deck_assignment,False
SPAN_MODEL_093,DECK_906806087,UNVERIFIED_Pier_658|UNVERIFIED_Pier_659,UNVERIFIED_Pier_661|UNVERIFIED_Pier_660,35.029427299821265,5.4199981689453125,7.999992370605469,8.000007629394531,,False
SPAN_MODEL_094,DECK_906806087,UNVERIFIED_Pier_661|UNVERIFIED_Pier_660,UNVERIFIED_Pier_667|UNVERIFIED_Pier_666,105.08718372089662,5.4199981689453125,7.999992370605469,8.000007629394531,long_gap_check_missing_supports,False
SPAN_MODEL_095,DECK_906806087,UNVERIFIED_Pier_667|UNVERIFIED_Pier_666,UNVERIFIED_Pier_673|UNVERIFIED_Pier_672,105.08802867851293,5.4199981689453125,7.9999847412109375,8.000007629394531,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_096,DECK_1272677946,UNVERIFIED_Pier_465,UNVERIFIED_Pier_680|UNVERIFIED_Pier_681,62.98676816063491,,7.9999847412109375,8.000007629394531,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_097,DECK_1272677946,UNVERIFIED_Pier_680|UNVERIFIED_Pier_681,UNVERIFIED_Pier_685|UNVERIFIED_Pier_684,73.9462813535792,,7.9999847412109375,8.000007629394531,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_098,DECK_1272677946,UNVERIFIED_Pier_685|UNVERIFIED_Pier_684,UNVERIFIED_Pier_688|UNVERIFIED_Pier_689,73.94577936313414,,7.999992370605469,8.000007629394531,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_099,DECK_1272677946,UNVERIFIED_Pier_688|UNVERIFIED_Pier_689,UNVERIFIED_Pier_692|UNVERIFIED_Pier_693,73.94650581490023,,7.9999847412109375,8.000007629394531,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_100,DECK_1272677946,UNVERIFIED_Pier_692|UNVERIFIED_Pier_693,UNVERIFIED_Pier_695|UNVERIFIED_Pier_694,36.972554296390115,,7.999992370605469,8.000015258789062,ground_surface_missing_at_some_samples,False
SPAN_MODEL_101,DECK_1272682373,UNVERIFIED_Pier_706|UNVERIFIED_Pier_707,UNVERIFIED_Pier_714|UNVERIFIED_Pier_715,146.64393055332684,,7.999992370605469,8.000007629394531,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_102,DECK_1272682373,UNVERIFIED_Pier_714|UNVERIFIED_Pier_715,UNVERIFIED_Pier_718|UNVERIFIED_Pier_719,73.32157256948392,,7.999992370605469,8.000007629394531,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_103,DECK_1272682373,UNVERIFIED_Pier_718|UNVERIFIED_Pier_719,UNVERIFIED_Pier_259,72.97341907558439,,7.999992370605469,8.000007629394531,ambiguous_pier_to_deck_assignment|long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
